[Zoo1]
	{building
		(type 			building)
		(subtype		xx)
		(title 			Zoo)
		(Level			1)
		(Visited_Script		Upgrade_Equipment)
		(birthscript		basic_birth)
		(birthScript2		Building_Birth)
		(IGdeathscript		building_death)
		(upgradescript		basic_upgrade)

		(Armor_Physical_Base		10)
		(Armor_Magical_Base		10)
		(IntentExt		ZOO)
	}
[end]

[Zoo2]
	{building
		(type 			building)
		(subtype		xx)
		(title 			Zoo)
		(Level			2)
		(Visited_Script		Upgrade_Equipment)
		(birthscript		basic_birth)
		(birthScript2		Building_Birth)
		(IGdeathscript		building_death)
		(upgradescript		basic_upgrade)

		(Armor_Physical_Base		10)
		(Armor_Magical_Base		10)
		(IntentExt		ZOO)
	}
[end]

[Zoo3]
	{building
		(type 			building)
		(subtype		xx)
		(title 			Zoo)
		(Level			3)
		(birthscript		basic_birth)
		(birthScript2		Building_Birth)
		(IGdeathscript		building_death)
		(upgradescript		basic_upgrade)

		(Armor_Physical_Base		10)
		(Armor_Magical_Base		10)
		(IntentExt		ZOO)
	}
[end]


[SorcerersAbode]
	{building
		(type 			building)
		(subtype		Utility)
		(title 			SorcerersAbode)
		(Level			1)
		(birthscript		magical_birth)
		(birthScript2		Building_Birth)
		(IGdeathscript		building_death)
		(upgradescript		magical_upgrade)
		(Magical_build_rate     2)

		(Armor_Physical_Base		10)
		(Armor_Magical_Base		10)
		(IntentExt		SORCERERSABODE)
	}
[end]

[SorcerersAbode2]
	{building
		(type 			building)
		(subtype		Utility)
		(title 			SorcerersAbode)
		(Level			2)
		(birthScript		Building_Birth)
		(IGdeathscript		building_death)
		(upgradescript		magical_upgrade)

		(Armor_Physical_Base		10)
		(Armor_Magical_Base		10)
		(IntentExt		SORCERERSABODE)
	}
[end]

[SorcerersAbode3]
	{building
		(type 			building)
		(subtype		Utility)
		(title 			SorcerersAbode)
		(Level			3)
		(birthScript		Building_Birth)
		(IGdeathscript		building_death)

		(Armor_Physical_Base		10)
		(Armor_Magical_Base		10)
		(IntentExt		SORCERERSABODE)
	}
[end]

[MagicBazaar]
	{building
		(type 			building)
		(subtype		Market)
		(title 			Magic_Bazaar)
		(Level			1)
		(Visited_Script		Bazaar_Visited)
		(birthscript		basic_birth)
		(birthScript2		Building_Birth)
		(IGdeathscript		building_death)
		(upgradescript		basic_upgrade)
		(Sleep_For		10000)

		(Armor_Physical_Base		10)
		(Armor_Magical_Base		10)
		(IntentExt		MAGICBAZAAR)
	}
[end]

[MagicBazaar2]
	{building
		(type 			building)
		(subtype		Market)
		(title 			Magic_Bazaar)
		(Level			2)
		(Visited_Script		Bazaar_Visited)
		(birthscript		basic_birth)
		(birthScript2		Building_Birth)
		(IGdeathscript		building_death)
		(upgradescript		basic_upgrade)
		(Sleep_For		10000)

		(Armor_Physical_Base		10)
		(Armor_Magical_Base		10)
		(IntentExt		MAGICBAZAAR)
	}
[end]

[MagicBazaar3]
	{building
		(type 			building)
		(subtype		Market)
		(title 			Magic_Bazaar)
		(Level			3)
		(Visited_Script		Bazaar_Visited)
		(birthscript		basic_birth)
		(birthScript2		Building_Birth)
		(IGdeathscript		building_death)
		(upgradescript		basic_upgrade)
		(Sleep_For		10000)

		(Armor_Physical_Base		10)
		(Armor_Magical_Base		10)
		(IntentExt		MAGICBAZAAR)
	}
[end]

[HallOfChampions]
	{building
		(type 			building)
		(subtype		Utility)
		(title 			HallOfChampions)
		(Level			1)
		(Visited_Script		Hall_Of_Champions_visited)
		(birthscript		basic_birth)
		(birthScript2		Building_Birth)
