[FloatingText]
	{FloatingText
		(type			FloatingText)
		(subtype		FloatingText)
		(title			FloatingText)
		(textScript		FloatingTextUpdate)
		(target_linked		False)
		(target_locked		False)
		(is_research		False)
	}
[end]

[dart_sentry_unit]
	{Unit
		(type		Hero)
		(subtype	Mystery)
		(title		dart_sentry_unit)
		(original_type Hero)
		(EnemyType monster)
		(Idle_action	basic_idle)
		(attack_action launch_dart)
		(Cast_Action Basic_Cast)
		(Friend	xx)
		(attacktype 2)
		(castingrange 10)
		(PercentageHPRetreat 1)
		(enemy_estimation 1.0)
		(self_estimation 1.0)
		(activeScript	dart_sentry_scan)
		(IGdeathscript				spelldummydeath)
		(deathScript		 spelldummydeath)
		(IntentExt		DARTSENTRY)
	}
[end]

[City_Guard]
	{Unit
		(type	Hero)
		(subtype Henchman)
		(title City_Guard)
		(original_type Hero)
		(EnemyType monster)
		(Idle_action	basic_idle)
		(attack_action basic_attack)
		(Friend	xx)
		(attacktype 1)
		(PercentageHPRetreat 35)
		(enemy_estimation 1.0)
		(self_estimation 1.0)
		(activeScript	       			GuardhouseGuard_Voyage_Home)
		(basicscript				GuardhouseGuard_Voyage_Home)
		(backscript				GuardhouseGuard_Voyage_Home)
		(birthScript				City_Guard_Birth)
		(IGdeathscript				Guard_Death)
		(Unit_Type			Unit)
		(Unit_Subtype		Henchman)
		(Kill_Credit_Type	Henchman)
		(Kill_Credit_Faction	KCF_Kingdom)
		(Kill_Credit_Specific	KCS_City_Guard)
		(Recruit_Time					17000)
		(Piercing_Resistance_Percent	5)
		(Crushing_Resistance_Percent	100)
		(Crushing_Resistance_Percent_Neg	True)
		(Armor_Physical_Base			3)
		(Physical_Attack		6)
		(Physical_Attack_Type	Slashing)
		(IntentExt		CITYGUARD)
	}
[end]

[Archer]
	{Unit
		(type	hero)
		(subtype henchman)
		(title Archer)
		(original_type Hero)
		(EnemyType monster)
		(Idle_action	basic_idle)
		(attack_action ranger_arrow)
		(Cast_Action Basic_Cast)
		(Friend	xx)
		(attacktype 2)
		(castingrange 25)
		(PercentageHPRetreat 50)
		(enemy_estimation 1.0)
		(self_estimation 1.0)
		(activeScript	       			GuardhouseGuard_Voyage_Home)
		(basicscript				GuardhouseGuard_Voyage_Home)
		(backscript				GuardhouseGuard_Voyage_Home)
		(birthScript				City_Guard_Birth)
		(IGdeathscript				Guard_Death)
		(Unit_Type			Unit)
		(Unit_Subtype		Henchman)
		(Kill_Credit_Type	Henchman)
		(Kill_Credit_Faction	KCF_Kingdom)
		(Kill_Credit_Specific	KCS_Archer)
		(Recruit_Time					20000)
		(Armor_Physical_Base			2)
		(Physical_Attack		7)
		(Physical_Attack_Type	Piercing)
		(IntentExt		ARCHER)
	}
[end]


[Veteran_City_Guard]
	{Unit
		(type	Hero)
		(subtype Henchman)
		(title Veteran_City_Guard)
		(original_type Hero)
		(EnemyType monster)
		(Idle_action	basic_idle)
		(attack_action basic_attack)
		(Friend	xx)
		(attacktype 1)
		(PercentageHPRetreat 35)
		(enemy_estimation 1.0)
		(self_estimation 1.0)
		(activeScript	       			Guard_Voyage_Home)
		(basicscript				Guard_Voyage_Home)
		(backscript				Guard_Voyage_Home)
		(birthScript				City_Guard_Birth)
		(IGdeathscript				Guard_Death)
		(Unit_Type			Unit)
		(Unit_Subtype		Henchman)
		(Kill_Credit_Type	Henchman)
		(Kill_Credit_Faction	KCF_Kingdom)
		(Kill_Credit_Specific	KCS_Veteran_City_Guard)
		(UsesAttackTypes				True)
		(Slashing_Resistance_Percent	5)
		(Piercing_Resistance_Percent	10)
		(Armor_Physical_Base			4)
		(Physical_Attack		7)
		(Physical_Attack_Type	Slashing)
		(IntentExt		VETERANCITYGUARD)
	}
[end]


[Palace_Guard]
	{Unit
		(type	Hero)
		(subtype henchman)
		(title Palace_Guard)
		(original_type Hero)
		(EnemyType monster)
