
[MagicalTreatises1]
	{Book_Item
		(type 		Special_Item)
		(subtype henchman)
		(Title		MagicalTreatises1)
		(BirthScript	Stack_Item_Birth)
		(gold_value		70)
		(XP_value		800)
		(XPMultiplier		1)
		(IntentExt		MAGICALTREATISES1)
	}
[end]

[MagicalTreatises2]
	{Book_Item
		(type 		Special_Item)
		(subtype henchman)
		(Title		MagicalTreatises2)
		(BirthScript	Stack_Item_Birth)
		(gold_value		70)
		(XP_value		800)
		(XPMultiplier		2)
		(IntentExt		MAGICALTREATISES2)
	}
[end]

[MagicalTreatises3]
	{Book_Item
		(type 		Special_Item)
		(subtype henchman)
		(Title		MagicalTreatises3)
		(BirthScript	Stack_Item_Birth)
		(gold_value		70)
		(XP_value		800)
		(XPMultiplier		3)
		(IntentExt		MAGICALTREATISES3)
	}
[end]

[MagicalTreatises4]
	{Book_Item
		(type 		Special_Item)
		(subtype henchman)
		(Title		MagicalTreatises4)
		(BirthScript	Stack_Item_Birth)
		(gold_value		70)
		(XP_value		800)
		(XPMultiplier		4)
		(IntentExt		MAGICALTREATISES4)
	}
[end]

[MagicalTreatises5]
	{Book_Item
		(type 		Special_Item)
		(subtype henchman)
		(Title		MagicalTreatises5)
		(BirthScript	Stack_Item_Birth)
		(gold_value		70)
		(XP_value		800)
		(XPMultiplier		5)
		(IntentExt		MAGICALTREATISES5)
	}
[end]

[LostCults]
	{Book_Item
		(type 		Special_Item)
		(subtype henchman)
		(Title		LostCults)
		(BirthScript	Stack_Item_Birth)
		(gold_value		70)
		(XP_value		750)
		(XPMultiplier		1)
		(IntentExt		LOSTCULTS)
	}
[end]

[MusingsOnTheAfterlife]
	{Book_Item
		(type 		Special_Item)
		(subtype henchman)
		(Title		MusingsOnTheAfterlife)
		(BirthScript	Stack_Item_Birth)
		(gold_value		70)
		(XP_value		750)
		(XPMultiplier		1)
		(IntentExt		MUSINGSONTHEAFTERLIFE)
	}
[end]

[LegendaryMonsters]
	{Book_Item
		(type 		Special_Item)
		(subtype henchman)
		(Title		LegendaryMonsters)
		(BirthScript	Stack_Item_Birth)
		(gold_value		70)
		(XP_value		750)
		(XPMultiplier		1)
		(IntentExt		LEGENDARYMONSTERS)
	}
[end]

[GoblinTribesOfArdania]
	{Book_Item
		(type 		Special_Item)
		(subtype henchman)
		(Title		GoblinTribesOfArdania)
		(BirthScript	Stack_Item_Birth)
		(gold_value		70)
		(XP_value		750)
		(XPMultiplier		1)
		(IntentExt		GOBLINTRIBESOFARDANIA)
	}
[end]

[SanguineConclave]
	{Book_Item
		(type 		Special_Item)
		(subtype henchman)
		(Title		SanguineConclave)
		(BirthScript	Stack_Item_Birth)
		(gold_value		70)
		(XP_value		750)
		(XPMultiplier		1)
		(IntentExt		SANGUINECONCLAVE)
	}
[end]

[Futility]
	{Book_Item
		(type 		Special_Item)
		(subtype henchman)
		(Title		Futility)
		(BirthScript	Stack_Item_Birth)
		(gold_value		70)
		(XP_value		750)
		(XPMultiplier		1)
		(IntentExt		FUTILITY)
	}
[end]

[OneThousandSnowflakes]
	{Book_Item
		(type 		Special_Item)
		(subtype henchman)
		(Title		OneThousandSnowflakes)
		(BirthScript	Stack_Item_Birth)
		(gold_value		70)
		(XP_value		750)
		(XPMultiplier		1)
		(IntentExt		ONETHOUSANDSNOWFLAKES)
	}
[end]

[CommonBlood1]
	{Book_Item
		(type 		Special_Item)
		(subtype henchman)
		(Title		CommonBlood1)
		(BirthScript	Stack_Item_Birth)
		(gold_value		70)
		(XP_value		750)
		(XPMultiplier		1)
		(IntentExt		COMMONBLOOD1)
	}
[end]

[CommonBlood2]
	{Book_Item
		(type 		Special_Item)
		(subtype henchman)
		(Title		CommonBlood2)
		(BirthScript	Stack_Item_Birth)
		(gold_value		70)
		(XP_value		750)
		(XPMultiplier		1)
		(IntentExt		COMMONBLOOD2)
	}
[end]

[CommonBlood3]
	{Book_Item
		(type 		Special_Item)
		(subtype henchman)
		(Title		CommonBlood3)
		(BirthScript	Stack_Item_Birth)
		(gold_value		70)
		(XP_value		750)
		(XPMultiplier		1)
		(IntentExt		COMMONBLOOD3)
	}
[end]

[ShadowsOverArdania]
	{Book_Item
		(type 		Special_Item)
		(subtype henchman)
		(Title		ShadowsOverArdania)
		(BirthScript	Stack_Item_Birth)
		(gold_value		70)
		(XP_value		750)
		(XPMultiplier		1)
		(IntentExt		SHADOWSOVERARDANIA)
	}
[end]

[Lunacy]
	{Book_Item
		(type 		Special_Item)
		(subtype henchman)
		(Title		Lunacy)
		(BirthScript	Stack_Item_Birth)
		(gold_value		70)
		(XP_value		750)
		(XPMultiplier		1)
		(IntentExt		LUNACY)
	}
[end]

[ScionsOfChaos]
	{Book_Item
		(type 		Special_Item)
		(subtype henchman)
		(Title		ScionsOfChaos)
		(BirthScript	Stack_Item_Birth)
		(gold_value		70)
		(XP_value		750)
		(XPMultiplier		1)
		(IntentExt		SCIONSOFCHAOS)
	}
[end]

[AGnomesLife]
	{Book_Item
